idx,English,Darija,MSA
5473,"Excuse me, could you tell me how to get to the Fairmont Hotel?",سمحلييا. واخا توريني منين ندوز باش نمشي لوطيل ديال فيرمونت؟,عفواً ، هلا أخبرتني كيف الذهاب إلى فندق فيرمونت ؟
5476,How many containers of milk do you buy weekly?,شحال من كارطونا د لحليب كاتشري ف السيمانا؟,كم عدد عبوات اللبن التي تشتريها أسبوعياً ؟
5477,Is this taxi available?,هاد الطاكسي خاوي؟,هل هذا التاكسي متاح ؟
5478,What is the contact number for international calls in America?,ف ميريكان، إينا نمرا خاصني ندير إيلا بغيت نعيط لخاريج؟,ما هو رقم الاتصال بالمكالمات الدولية في أمريكا ؟
5480,Can you explain it again?,واخا تعاود تشرح لييا؟,هل يمكنك شرحها مرة ثانية ؟
5481,What are the bank's working hours?,معاياش كاتحل لبانكا؟,ما ساعات عمل البنك ؟
5484,Can you change the time of my flight from London to Tokyo?,واخا تبدل لييا نهار ل فول من لوندون ل طوكيو؟,هل يمكنك تغيير موعد رحلتي من لندن إلى طوكيو ؟
5486,We need three more dollars.,باقي خاصني تلاتة د الدولارات.,نحتاج إلى ثلاثة دولارات أخرى .
5489,"Where, lost and found department please.",فيناهوما داكشي لي لقيتي، عفاك.,أين ، قسم المفقودات من فضلك .
5491,We want to have fun playing a unique sport on the West Coast.,كانلعبوالرياضة حدا لبحر باش نبدلو لجاو شوييا.,نود أن نمرح بممارسة رياضة فريدة من نوعها على الساحل الغربي .
5492,The plane arrived late due to heavy snow.,الديارة دايرا الروطار حيت كاينة شي عاصفة ديال التلج.,وصلت الطائرة متأخرة بسبب الثلج الكثيف .
5495,Just can I pay the difference from the ticket I have?,واخا نخلص غي لفرق ديال ال بيييي ديالي؟,فقط هلا بإمكاني أن أسدد الفرق من التذكرة التي توجد لدي ؟
5496,"Yes, I am. Why are you asking ?",نعام، هييا انا. علاش كاتسولني على هادشي؟,نعم ، إنني كذلك . لماذا تسال ؟
5499,"By registered mail, please.",صيفطو روكوموندي، عفاك.,بالبريد المسجل ، من فضلك .
5500,The staple food in Japan is rice.,ف اليابان، كاياكلو غي الروز.,الغذاء الرئيسي في اليابان هو الأرز .
5501,We need to cut the budget.,خاصنا نقصو من المصروف.,نحتاج إلى خفض الميزانية .
5502,"Yes, I want a bottle of red wine.",آو، بغينا شي قرعا د الروج.,"نعم , أريد زجاجة نبيذ أحمر ."
5503,Oh no . indeed . Is this all you got? indeed .,ها، لا. مزيان. غي هادشي للي عندك؟ واخا.,أوه ، لا . وهو كذلك . هل هذا هول كل ما حصلت عليه ؟ وهو كذلك .
5504,We would like a table close to the window.,بغينا شي طابلا قريبا ل الشرجم.,نرغب في مائدة قريبة من النافذة .
5505,To go to the conference.,باش تمشي ل واحد المؤتمر.,للذهاب إلى المؤتمر .
5507,This is room number eleven zero and two. Can you get me some beer?,معاك الشومبر حضاش جوج. واخا تجيب لييا شي بيرات؟,هذه الغرفة رقم أحد عشر صفر واثنين . هل يمكنك أن تحضر لي بعض الجعة ؟
5508,"Oh, this is beautiful. I will try this.",أوو، لهلا يخطيك. غادي نقيس هادشي.,أوه ، هذا جميل . سأجرب هذا .
5511,"Yes, of course there are interesting restaurants. Some people eat on wheelbarrows, others eat lunch in the office. Basically, we don't spend much time eating lunch.",فهمت، كاينين ريسطورات زوينين. كاين الناس لي كايجيبو ليهم الشاريو، و كاينين لي كايوصلو ليهم لغدا لبيرو. ولايني من لخر مكنضيعوش لوقت ف لغدا.,نعم ، بالطبع هناك مطاعم شيقة . يتناول بعض الناس طعامهم على عربات اليد ، والبعض الآخر يتناول الغداء بالمكتب . أساسا ، نحن لا نقضي وقتاً طويلاً في تناول الغداء .
5512,Let's move on to the next topic.,دوز لموضوع للي موراه.,فلننتقل إلى الموضوع التالي .
5513,Unripe food for lunch is probably not desirable.,واقيلا ديك لماكلا لي ماطايباش للي كلينا ف صباح ماشي تال لهيه.,من المحتمل أن يكون الطعام غير الناضج على الغداء غير مستحب .
5514,Could you please give her some airsickness medication?,وخا تشوف إيلا عندك شي دوا ديال الدوخا ت عطيه ليه، عفاك؟,من فضلك هلا أعطيتها بعض الأدوية الخاصة بدوار الجو ؟
5517,I am not able to explain my condition in English.,معرفتش كيفاش غادي نشرح ليك ب لونغلي.,لست قادراً على شرح حالتي بالإنجليزية .
5518,"The check, please ?",لحساب، عفاك.,الفاتورة من فضلك ؟
5519,just for fun .,غي باش نضحكو و صافي.,للمتعة فقط .
5521,Please can you receive a message?,واخا توصل لميصاج معاك، عفاك؟,من فضلك هل يمكنك أن تتلقى رسالة ؟
5526,Did you use the refrigerator?,خديتيه من التلاجة؟,هل استخدمت الثلاجة ؟
5527,Can I get my luggage back?,واش نقدر ناخد لباغاج ديالي؟,هل يمكنني أن استعيد أمتعتي ؟
5528,There is blood in my stool.,ولا عندي لخروج ب الدم.,هناك دم في برازي .
5530,"Sorry, but I can't go with you.",سمحلييا، والايني منقدرش نتبع معاك.,"عفواً , لكن لا أستطيع أن أذهب معك ."
5531,"I would like you to join us, if you don't mind.",مكرهناكش تمشي معانا، إيلا مكان عندك تاشي مشكل.,"وأود منك أن تنضم إلينا , إن لم يكن لديك مانع ."
5534,"Can I help you, madam?",نعاونك، آ لالا؟,هل يمكنني مساعدتك يا مدام ؟
5535,"Yes, in the dining room and the barbecue area.",اه، ف الرسطورو و الشوايا.,نعم في حجرة الطعام ومكان الشواء .
5536,"My name is Yukio Aoki, flight number one two five bound for Narita on August 14th.",سميتي يوكيو أوكا، رحلة نيميرو مياو خمساوعشرين ل ناريطا نهار ربعطاش غشت.,"اسمي يوكيو أوكه , الرحلة رقم واحد اثنين خمسة المتجهة إلى ناريتا في الرابع عشر من أغسطس ."
5538,I would like a souvenir for my son.,بغيت شي تدكار لولدي.,ارغب في هدية تذكارية لابني .
5539,"They must be really rich no matter how they look. However, they argue about the price.",باينا فيهوم لاباس عليهوم. و هاكاك و كايتشطرو معاه باش يهاباط ليهوم ف التمن.,لابد أنهم أغنياء حقاً بغض النظر عن مظهرهم . ومع ذلك فهم يجادلون في السعر .
5540,"Sorry, I can't follow you. Could you speak more slowly please?",سمحلييا، ولاكن را مقدرتش نتبع معاك. واخا تهدر غي بشوييا، عفاك؟,آسف ، لا يمكنني متابعتك . هل من الممكن أن تتحدث ببطء أكثر من فضلك .
5541,"Two dollars for a pound, is it?",الجنيه كايساوي جوج د الدولار، ياك؟,دولاران مقابل جنيه ، أهو كذلك ؟
5542,Ichiro Suzuki. n f z k y .,إيشورو سوزوكي. ايس و ز و ك ي.,ايشيرو سوزكي . ن و ز ك ي .
5543,Can someone else help you with this?,واش يقدر يعاونك شي حد آخور ف هادشي؟,هل من الممكن أن يساعدك شخص آخر في هذا الأمر ؟
5546,"Yes, before leaving, could you tell me about your impressions of Japan?",لموهيم، قبل متمشي، كيجاك بعدا اليابان؟,نعم ، قبل الرحيل ، هلا أخبرتني عن انطباعاتك عن اليابان .
5547,Sorry . Can you tell me when my photos will be ready?,عفاك، ايمتاش غادي يوجدو تصاوري؟,عفواً . هلا أخبرتني متى ستكون صوري جاهزة ؟
5548,I have Marvin Doerfler on the line. Can I put him on the phone?,كانهدر معا مارفين دورفلير. ندوزو ليك؟,معي مارفين دورفلر على الخط ، هل أوصله بالهاتف ؟
5549,What can I show you?,شنو بغيتي نوريك؟,ماذا يمكنني أن أريك ؟
5551,I gave you a hundred dollar bill.,راني عطيتك ميات دولار.,أعطيتك ورقة بمائة دولار .
5553,"What do you think about this problem, George? Could you expand on the point in front of the chapter?",ايوا آش بانليك ف هاد لموشكيل، اآ السي جورج؟ وا خا تشرح كتر لصحابك ف القسم؟,ما رأيك في هذه المشكلة يا جورج ؟ هل يمكن أن تتوسع في النقطة أمام الفصل ؟
5555,"In this case, you do not have to fill one out.",ف هاد لحالة، ماعندك ماتعمر.,في هذه الحالة ، لا يتعين عليك أن تملأ واحدة .
5556,Is it okay if I unbuckle my seat belt?,واخا نحل الصمطا؟,هل الأمر كله ما يرام في أن أقوم بحل حزام مقعدي ؟
5557,I am from Colorado. Which part of Japan are you from?,انا جاي من كولورادو. و نتا منينا بلاصا ف اليابان جيتي؟,إنني من كولورادو . من أي المناطق في اليابان أنت ؟
5558,"certainly . We were very busy yesterday, but the place is empty today. When will your plane take off?",حاجا بانيا. كنا مشغولين بزاف لبارح، ولايني ليوما الدنيا كاتصفر. ايمتاش غادي تقلع طيالتك؟,بالتأكيد . كنا مشغولون للغاية أمس ، بيد أن المكان خاو اليوم . متى ستقلع طائرتك .
5559,Can I take some pictures?,وخا نصور؟,هل يمكنني أن التقط بعض الصور ؟
5562,I paid cash on the spot.,خلصت بلفلوس نيشان عندهم.,لقد دفعت نقداً في الحال .
5563,Please contact the manager.,عيط لمودير.,من فضلك اتصل بالمدير .
5564,where will we meet ?,فين غادي نتلاقاو؟,أين سنلتقي ؟
5565,"Say it again, please.",شنو غلتي، عفاك.,تلفظ بها ثانيه من فضلك .
5567,I want a card game.,بغيت لكارطا.,أريد لعبة الورق .
5569,How much is the tariff for a telegram to Japan?,بشحال كاتصيفط ل اليابان؟,كم تبلغ تعريفة البرقية إلى اليابان ؟
5570,Out of a hundred.,ف لميا.,من مائة .
5571,My friend had an asthma attack.,صاحبي جاتو كريز د الديقة.,أصيب رفيقي بأزمة ربوية .
5572,Do I prepare dinner? I'm starving. Will you set the table?,واجد لعشا؟ فييا لموت د الجوع. واخا تحط ليا ناكل؟,هل أعد طعام العشاء . إنني أتضور جوعاً . هلا أعددت المائدة ؟
5573,Would you please issue me a certificate of theft?,واخا تصاوب لييا شي اطيسطاسيو ديال السفر؟,هلا حررت لي شهادة بالسرقة ؟
5578,Please put it in this brown paper bag.,ديرو ف الصاك لي قهوي.,من فضلك ضعها في هذا الكيس الورقي بني اللون .
5580,I am not able to decide.,ولله ماقضرت نختار.,لست قادراً على البت .
5581,She's been bothering me ever since I came here.,لقنطا من نهار جيت.,إنها تكدرني منذ قدومي إلى هنا .
5582,How do I do it?,كيفاش غادي ندير ليه؟,كيف أقوم بها ؟
5583,I lost my wallet and my room key on the beach.,طاح لييا البزطام والساروت ديال الشومبر ف لبحر.,فقدت حافظة نقودي ومفتاح غرفتي على الشاطئ .
5584,HP Flight 89 bound for Tokyo on March 11th.,رحلة رقم اتش بي تسعود و تسعين ل اليابان نهار حضاش مارس.,رقم الرحلة الجوية اتش بي تسعة وثمانين المتجهة إلى طوكيو في الحادي عشر من مارس .
5585,Can I have another dish like this?,واخا تجيب لييا فحال هاد لماكلا؟,هل بإمكاني الحصول على طبق آخر مثل هذا ؟
5587,Are you here for honeymoon?,جاين هنايا دوزو شهر العسل؟,هل أنت هنا لقضاء شهر العسل ؟
5590,Let's go. Could you put a fork in the bag?,غادي نديه معايا. زيد معاك شي فرشيطا ف الميكا؟,هيا نرحل . هلا وضعت شوكة طعام في الحقيبة ؟
5592,Can we camp on your land?,واخا نخيمو ف الأرض ديالك؟,هل يمكننا أن نخيم فوق أرضكم ؟
5593,"If something happens, please be in touch with me.",ايلا طرات شي حاجا. عيط لييا.,في حالة حدوث شيء ما ، من فضلك كن على اتصال بي .
5594,Do you have another one?,عندك شي وحدا خرا؟,هل لديك واحدة أخرى ؟
5595,Dark paint please.,سباغا ماط، عفاك.,طلاء قاتم من فضلك .
5596,"Please, bring breakfast to my room at seven tomorrow morning.",جيب لييا لفطور ل شومبر غدا معا السبعة د الصباح.,من فضلك ، احضر طعام الإفطار إلى غرفتي في السابعة من صباح الغد .
5598,How often does it occur?,شحال من مرة؟,كم عدد مرات تكرار حدوثها ؟
5599,I would like to send this letter by registered mail.,بغيت نصيفط هاد لبرييا روكومندي.,أرغب في إرسال هذا الخطاب بالبريد المسجل .
5600,I will arrive thirty minutes late. Please postpone my login.,غادي نديرو شي نص ساعة د الروطار. غي خلي التسجيل لمن بعد عفاك.,سأصل متأخراً ثلاثين دقيقة . من فضلك أرجئ تسجيل دخولي .
5601,"I would like it with soles and heels, please.",بغيت نبدل السوميلا و الطالون، عفاك.,أبغيها بنعل وكعب من فضلك .
5603,"Sorry . Could you show me the way to the railway station, please?",عفاك، فين جات لا غار؟,عفواً . هلا أرشدتني إلى طريق محطة السكة الحديد ، من فضلك ؟
5605,Don't you think I'd need proof?,اش بان ليك، غادي نحتاج ل شي غيد؟,ألا تعتقد أنني سأكون في حاجة إلى دليل ؟
5606,Can I get to the concert base at six o'clock?,اش بان ليك زعما نوصل ل كونصير معا ستا؟,هل بإمكاني الوصول إلى قاعدة الحفلات الموسيقية في الساعة السادسة ؟
5608,"Sorry, but we'll have to keep it.",لا سمح لييا، ولايني خاصو يبقا عندنا.,عفوا ، بيد أننا سنضطر إلى الاحتفاظ بها .
5612,I am looking for eye shadow.,بغيت شي فار ء بوبيير.,أبحث عن مظلل لجفون العين .
5613,Do I have to order breakfast right away?,نطلب لفطور دابا؟,هل يتعين علىّ أن أطلب طعام الإفطار في الحال ؟
5615,The maintenance worker will arrive immediately.,شوييا و يجي عندك السيد ديال المانطونونس.,عامل الصيانة سيصعد في الحال .
5617,"Sorry, I will come back later.",سمحلييا. تال من بعد او نرجع.,آسف سأعود لاحقاً .
5618,I already paid when I bought my ticket.,راني قبيلا خلصت ملي شريت البييي.,سددت بالفعل عندما اشتريت تذكرتي .
5619,"Yes, you can. take it easy .",اه، تقدر. والايني غي بشوييا.,نعم ، بإمكانك . هون عليك .
5620,When will your duty-free sales start?,ايمتاش غادي تبداو تبيعو بلا رسوم جمركية؟,متى ستبدأ مبيعاتك المعفية من الرسوم ؟
5621,Sorry for waiting. I will go up to your room with you.,سمح لييا خليتك كاتسنا. انا غادي نطلع معاك ل شومبر ديالك.,معذرة على انتظارك . سأصعد إلى غرفتك بصحبتك .
5622,"It's one dollar, you have to have the right change.",راه دولار واحد هداك. خاص يكون عندك الصرف هوا هداك.,إنه دولار واحد يتعين أن يكون لديك الفكة الصحيحةً .
5623,"Your room is on the third floor, number three-fifty-seven.",الشومبر ديالك كاينا ف الدوزييم ايطاج. نمرا تلتميا و سبعا و خمسين.,"غرفتك في الطابق الثالث , رقم ثلاثة سبعة وخمسين ."
5624,There is no running hot water.,ماكاينش لما سخون.,لا توجد مياه ساخنة جارية .
5625,I would like an English-Japanese dictionary.,بغيت شي ديكسونير ب النغليزييا و اليابانييا.,أرغب في قاموس إنجليزي ـ ياباني .
5626,"Hello, I have a reservation.",السلام، راني مريزيرفي.,"أهلا , لدي حجز ."
5627,"Please, show me your luggage.",وريني الشوانط ديالك.,من فضلك ، أرني أمتعتك .
5629,Bring it urgently. Please I am in a hurry.,جيبو دغيا، عفاك. راني زربان.,أحضرها على وجه السرعة . من فضلك إنني في عجلة من أمري .
5633,But where ? Don't you know any barber shop near here?,فين جا؟ مكاتعرف تاشي صالون غي ف هاد الجوايه.,ولكن أين ؟ ألا تعرف أي صالون حلاقة قريب من هنا ؟
5635,"Check this out at the final destination, please.",قييد عندك هادشي كولو حنا نوصل ف لخر، عفاك.,"تحقق من هذا في المقصد النهائي , من فضلك ."
5636,Change these into coins please.,بدل لييا هادشي بلفلوس، عفاك.,غير هذه إلى عملات نقدية من فضلك .
5637,I have a box of cigarettes.,عندي كارطوشا د لغارو.,لدي صندوق سجائر .
5639,Do I need to announce this?,واش خاصني نضيكلاري هادشي؟,هل أنا بحاجة إلى الإعلان عن هذا ؟
5640,How do I take it?,كيفاش نقدر الناخدو؟,كيف أستقلها ؟
5641,Are the cookbooks on the second floor too?,لكتوبا ديال الطياب كاينين تاهوما ف الدوزيام ايطاج؟,هل كتب الطهي بالطابق الثاني أيضا ؟
5642,There is a regular boat service from Kobe to the ports of Shikoku and Kyushu.,كاين ديما لباطو مابين كوب و المرسا ديال شيكوكو و كيوشو.,هناك خدمة قوارب منتظمة من كوبي حتى الموانئ التي توجد في شيكوكو وكيوشو .
5646,Please replace this.,صرف لييا، عفاك.,من فضلك بدل هذا .
5648,Are there any available places for Thursday's flight?,واش مازال كاينين بلايص ل الرحلة ديال نهار الخميس؟,هل هناك أماكن شاغرة بالنسبة لرحلة الخميس ؟
5649,Could you please explain this in more detail?,واخا تشرح لينا هادشي ب الضيطاي، عفاك؟,هلا تفضلت بشرح هذا على نحو أكثر تفصيلا ؟
5651,"When it dries, remove it from your face.",ملي ينشف، حيدو من وجهك.,"حينما تجف , قم بنزعها من على وجهك ."
5653,How long will it take to shave my hair?,شحال د لوقت باش تقطع لييا شعري؟,كم من الوقت سيستغرق حلاقة شعري ؟
5654,"I would like the address book, please.",بغيت شي كارني ديال لادريسات، عفاك.,أبغي دليل العناوين ، من فضلك .
5655,I want to get my preciousness back.,بغيت نرجع حوايجي لي عزاز علييا.,أرغب في استعادة نفائسي .
5657,Sorry . Would you let me pass?,سمحلي، وخا ندوز؟,عفواً . هلا سمحت لي بالمرور ؟
5658,I would like to sit down now.,وا بغيت نغلس دابا.,أرغب في الجلوس الآن .
5660,About an hour after take-off. We are starting in-flight meal service.,علاين ساعة مورا ماتقلع. كانبداو نسربيو لماكلا ملي كانشدو السرعة مقادة.,حوالي ساعة بعد الإقلاع . نحن نبدأ خدمة الوجبات أثناء الطيران .
5661,I have a first class reservation on flight one one three coming from Los Angeles to New York on October 25th.,مريزيرفي ف بروميير كلاس نيميرو مياو تلطاش من لوس النجيليس ل نيويورك نهار خمساوعشرين أكتوبر.,لدي حجز للدرجة الأولى على الرحلة رقم واحد واحد ثلاثة القادمة من لوس أنجلوس إلى نيويورك في الخامس والعشرين من أكتوبر .
5663,"This offer is valid for fourteen days, so you can use it until the twenty-third.",كايبقا صالح ربعطاش ليوم. تقدر تبقا تخدم بيه حتال نهار تلاتة و عشرين.,"هذا العرض سارٍ لمدة أربعة عشر يوما , ولذا يمكنك استخدمه حتى الثالث والعشرين ."
5666,It is not polite to make a sound while chewing food.,حشوما تاكل و تسمع.,ليس من الأدب أن تـُحدث صوتا أثناء مضغك للطعام .
5667,I spilled the soup.,طيحت الصوبا.,لقد سكبت الحساء .
5669,I came to study at a language school.,جين نقرا ف واحد مدراسا ديال اللوغات.,أتيت للدراسة في مدرسة للغات .
5671,No thanks .,لا، سمح ليا.,"لا , عفوا ."
5672,How much does a trip to the Art Museum cost by taxi?,شحال يحسب عليا الطاكسي من هنا ل متحف ديال الفنون؟,كم تتكلف الرحلة إلى متحف الفن بالتاكسي ؟
5675,"I'm a little early, is everything okay?",انا راني فايتك شوييا، ماشي مشكيل؟,"لقد بكرت قليلا , هل كل شيء على ما يرام ؟"
5680,Do you have any plants or fruits?,عندك شي غريسات و شي ديسير؟,هل لديك أية نباتات أو فواكه ؟
5681,"Yes, you can see it clearly, because it is clear today.",اه، تقدر تشوفو مزيان ليوما حيت الجو زوين .,"نعم , يمكن أن تراها بوضوح , لأنها صافية اليوم ."
5684,Please tell me how to fill out a landing card?,وريني عفاك كيفاش نعمر هاد الورقة د لومباركومو؟,من فضلك أخبرني كيف أملأ بطاقة النزول إلى البر ؟
5686,Can I book a tennis court here?,وريني عفاك كيفاش نعمر هاد الورقة د الوصول؟,هل يمكن أن أحجز ملعبا للتنس هنا ؟
5687,Is there a beauty salon here?,كاين شي صالون هنايا؟,هل يوجد صالون تجميل هنا ؟
5690,Which bus should take me to Skyway Hotel?,اينا طوبيس ناخد يديني لوطيد سكايواي؟,أية حافلة يجب أن تـقلني إلى فندق سكاي واي ؟
5691,Then can you show me your major credit card and driver's license?,علا هاد لحساب، وخا توريني كارط غيشي لي معروفا عندكم، و البيرمي؟,هل يمكنك بعد ذلك أن تريني بطاقة ائتمان رئيسية ورخصة قيادة سائقك ؟
5694,"No, I don't have that much money.",لا، معنديش بزاف د لفلوس.,"لا , ليس عندي هذا المبلغ الكبير من المال ."
5695,I think my car is worth about five thousand dollars.,كانضن طوموبيلتي تكون دايرا ديك خمسالاف دولار.,أعتقد أن سيارتي تستحق حوالي خمسة آلاف دولارا .
5696,"Yes, I will buy champagne with appetizers.",اه، غادي ناخود الشومباني مع المقبلات.,"نعم , سأشتري شامبانيا مع مقبلات الطعام ."
5697,Isn't there a public phone booth anywhere around here?,مكايناش شي تيليبوتيك ف هاد الجوايه؟,ألا توجد كابينة تليفون عامة في أي مكان هنا ؟
5700,Take this after every meal three times a day.,خود هادا مورا لماكلا تلاتة لمرات ف النهار.,خذ هذا بعد كل وجبة ثلاث مرات في اليوم .
5701,There is a new pizza place near here that I would like to try.,"واخا تقلب لييا علا ""آن. . لا ميزو أوو پينيو ڢيغ"" ف لمجموعة ديال ليڢغ دو پوش.",يوجد محل بيتزا جديد بالقرب من هنا وهو ما أود أن أجربه .
5702,"Could you look up ""Anne of Green Gables"" for me in a folder?","واخا تقلب لييا على ""آن صاحبة الجملونات الخضرا"" ف كتب الجيب؟","هل يمكن أن تبحث لي عن "" آن أوف جرين جابلز "" في مجلد ؟"
5703,"Well, don't be upset. We have a nurse who understands Japanese.",واخا، غي تهانا. عندنا واحد لفرملييا كاتفهم ل اليابانييا.,"حسنا , لا تنزعج . لدينا ممرضة تفهم اليابانية ."
5706,Is this food low in calories?,واش هاد لماكلا مكاتغلضش؟,هل هذا الطعام منخفض السعرات الحرارية ؟
5708,I don't like that.,هادشي معجنيش.,لا يروق لي ذلك .
5709,Mr. Albert helped me greatly.,السي ايبير عاوني بزاف.,السيد ألبرت ساعدني مساعدة عظيمة .
5710,"It is rayon, so it can be washed.",حادا راه حرير الهايون، جا تقضر تغسلو.,"إنه حرير صناعي , لذا يمكن غسله ."
5712,I caught a cold.,ضربني البرد.,أصبت بالبرد .
5716,"Please, explain in easier words.",شرح ليا ب شي كلام ساهل، عفاك.,"من فضلك , وضح بكلمات أسهل ."
5717,Which bus should I take to the station?,اينا طوبس كايدي لا غار خاصني نشد؟,أية حافلة يجب أن آخذ إلى المحطة ؟
5718,"I would like to change my order, if possible.",بغيت نبدل لكوموند ديالي، يلا كان ممكن.,"أريد أن أغير طلبي , لو أمكن ."
5722,Let me ask if one of our other stores has this in stock.,خليني نشوف ليك ف لمحال ديالنا لاخور ايلا كان مازال باقي عندهوم ف سطوك.,دعني أسأل عما إذا كانت إحدى محالنا الأخرى لديها هذا في المخزن .
5723,"Yes, it is him. But you will have to turn left at the third traffic light and continue on that street until you reach Route No. 66.",واييه. ولاكن خاصك الضور عل ليسر مورا الفو روج التالت و تكمل ف ديك الطريق حتال توصل ل طريق ستا وستين.,"نعم , إنه هو . ولكن ستضطر إلى الدوران يسارا في إشارة المرور الثالثة وتستمر في ذلك الشارع حتى تصل إلى الطريق رقم ستة وستين ."
5724,Where can I find a limousine?,فين نقدر نلقا شي ليموزين؟,أين لي أن أجد سيارة ليموزين ؟
5725,I would like to file a police report.,بغيت نديكلاري عند لبوليس.,أود أن أحرر محضرا بالشرطة .
5727,Six nights starting from July 23rd. Is that appropriate?,ستييام من تلاتة و عشرين يوليوز، ممكن؟,ست ليال تبدأ من الثالث والعشرين من يوليو . هل ذلك مناسب ؟
5728,What time does the tide reach its peak?,وقتاش كاطلع لمارييا د لبحر؟,في أي وقت يبلغ المد ذروته ؟
5729,My bags are very heavy. can you help me ?,صيكاني تقال، وخا تعاوني؟,حقائبي ثقيلة جدا . هل يمكن أن تساعدني ؟
5730,Can I leave her in Seattle?,وخا نخليها ف سيياتل؟,هل يمكن أن أتركها في سياتل ؟
5733,"I would like a glass of water to take some medicine, please.",بغيت شي كاس د لما نشرب بيه دوا، عفاك.,"أريد كوبا من الماء لأتناول بعض الدواء , من فضلك ."
5734,"Show me another one, please.",وريني منو شي واحد اخر، عفاك.,"أريني واحدا آخر , من فضلك ."
5736,May I request a pillow?,وخا تعطيني شي مخدا؟,هل لي أن أطلب وسادة ؟
5740,I want to go fishing. Is there a good location near here?,بغيت نمشي نصيد. كاين شي بلاصا مزيانا ف هاد الجوايه؟,أريد الذهاب للصيد . هل يوجد موقع جيد بالقرب من هنا ؟
5745,To conduct research in American history at Harvard University.,باش ندير بحت على تاريخ ميريكان ف جامعة هارفرد.,لإجراء بحث في التاريخ الأمريكي في جامعة هارفارد .
5749,Better not to buy bulky things?,من الاحسن مانشريش شي حاجا تقيلا.,الأفضل ألا أشتري أشياء ضخمة ؟
5750,"Could you get me some pepper, please?",واخا تجيب لييا معاك بزار، عفاك؟,"هل يمكن أن تحضر لي بعض الفلفل , من فضلك ؟"
5751,"Beautiful weather, isn't it?",لجو زوين، ياك؟,"طقس جميل , أليس كذلك ؟"
5755,How do I buy tickets to a Broadway show?,فين نقدر نلقا لبييي لحفلا ديال برودواي؟,كيف أشتري تذاكر لعرض برودواي ؟
5756,Where can I find my luggage?,فين نقدر لبالز ديالي؟,أين يمكنني أن أجد أمتعتي ؟
5759,I am looking for a scarf for my mother. She is sixty years old.,بغيت نشري شي شال لواليدا. عندها كتر من ستين عام.,أبحث عن وشاح لأمي . إنها في الستين من عمرها .
5761,I would be very grateful if you would take me to the beach.,منكرهكش توصلني لا بلاج.,أكون ممتنا جدا لو أخذتني إلى الشاطئ .
5763,I'll take six percent of the price.,غادي نقص ليك عشرا فلميا من تامانو.,سآخذ ستة في المائة من السعر .
5764,do you work here ?,خدام هنايا؟,هل تعمل هنا ؟
5766,I would like to pay for the call.,بغيت نخلص هاد لموكالاما لي درت.,أود الدفع للمكالمة .
5767,How do I notify the driver if I want to get off the bus?,كيفاش نقدر نعلم الشيفور ملي نبغي نهبط من الطوبيس؟,كيف أخطر السائق إذا أردت أن أنزل من الحافلة ؟
5772,Sorry . You called the wrong number. This is Tankyusha Press Agency.,ولاهيلا غي سمح لييا. غي غلط وقع. هادي طانكيوشا برس.,آسف . لقد اتصلت بالرقم الخطأ . هذه وكالة تانكيوشا الصحفية .
5774,Can I book two rooms for two people instead of one double room?,واخا تريزيرفي لييا جوج د لي غرفة فردية بلاست وحدا ب جوج د الناموسييات؟,هل يمكن أن أحجز حجرتين لفردين بدلا من حجرة واحدة مزدوجة ؟
5775,The total price is five dollars and thirty cents.,كاتجي خمسا دولار و تلاتين سانت.,يبلغ إجمالي الثمن خمسة دولارات وثلاثين سنتا .
5776,I'm moving to Los Angeles. Do you arrive exactly on time?,خاصني نبدل ف لوس النجولوس. واش غادي نوصلو ف لوقت؟,أنا أحول إلى لوس أنجلوس . هل تصل في الميعاد بالضبط ؟
5777,"Call on voice frequency one, two, three.",خاصني نبدل معا لفول رقم مياو تلاتة و عشرين.,أتصل على التردد الصوتي واحد اثنان ثلاثة .
5779,We will pay the bill and leave.,دابا نخرجوا.,إننا سندفع الحساب ونغادر .
5780,May I have a glass of water?,واخا تجيب لييا شي كاس د لما؟,هل لي أن آخذ كوبا من الماء ؟
5781,It takes about thirty minutes.,كاتاخد شي نص ساعة.,تستغرق حوالي ثلاثين دقيقة .
5782,Which way will take me to Mr. Mason's office?,فين كاين ل بيرو ديال السي ماصو؟,أي طريق يوصلني إلى مكتب السيد ماسون ؟
5783,One hundred dollars in cash with my credit card.,ميات دولار ديال لفلوس و كارط غيشي.,مائة دولار نقدا ببطاقتي الائتمانية .
5785,What is the price of each one?,شحال داير كولا واحد؟,ما ثمن كل واحدة منها ؟
5786,Currency markets are unstable.,هاد لمارشييات ديال دابا مامضمونينش.,أسواق العملات غير مستقرة .
5787,I'm planning a drive around Provence tomorrow.,بغيت ندير شي دويرا ف بروفانس غدا.,أخطط لتجول بالسيارة حول بروفنس غدا .
5788,I want to rent a boat for one day.,بغيت نكري باطو نهار واحد.,أريد أن أستأجر قاربا لمدة يوم واحد .
5789,It is about forty feet to the bottom.,كاين ب شي ربعين قدم على لحفرا.,تبلغ حوالي أربعين قدما إلى القاع .
5790,He seems half-baked.,باينا فيه مطايبش مزيان.,يبدو أنه نصف ناضج .
